Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Access_to_Resources_Encoded,Parental_Involvement_Encoded,Motivation_Level_Encoded,Family_Income_Encoded,Teacher_Quality_Encoded,Peer_Influence_Encoded,Parental_Education_Level_Encoded,Distance_from_Home_Encoded,Extracurricular_Activities_Encoded,Internet_Access_Encoded,Learning_Disabilities_Encoded,School_Type_Encoded,Gender_Encoded
25.0,86,9,97,1.0,3,70.0,2,2,1,3,2,2,1,2,1,1,0,1,0
12.0,80,5,72,1.0,4,65.0,2,3,2,3,2,3,1,1,0,1,1,1,1
21.0,61,4,90,2.0,3,63.0,2,2,1,2,1,2,1,1,0,1,0,0,0
32.0,84,8,64,1.0,3,71.0,2,1,2,1,3,3,2,1,1,1,0,1,1
14.0,89,6,94,0.0,2,68.0,3,2,1,1,2,2,3,1,1,1,0,1,0
16.0,77,7,92,1.2926987210620042,3,70.0,2,2,3,1,3,3,3,1,1,1,0,0,1
23.0,90,8,76,2.0,3,72.0,3,2,3,2,1,3,1,1,1,1,0,0,1
21.0,69,6,85,3.0,1,64.0,2,2,2,1,1,2,2,3,1,1,0,0,1
22.0,69,7,98,0.0,2,64.0,2,1,1,1,2,3,3,2,0,1,0,0,0
23.0,66,8,73,2.0,2,66.0,1,2,3,3,2,3,2,1,1,1,0,0,1
24.0,75,9,75,0.0,3,69.0,3,2,3,2,3,3,2,3,1,1,0,0,0
27.0,94,6,86,2.0,2,71.0,1,2,2,2,2,2,1,1,0,1,0,1,1
22.0,93,6,69,0.0,3,69.0,3,2,3,3,1,1,1,1,1,1,1,0,0
19.0,75,8,98,1.0,3,67.0,2,3,1,1,2,2,3,2,0,1,0,0,0
24.0,84,7,52,0.0,3,66.0,2,1,2,1,3,2,1,1,1,1,0,0,0
31.0,89,7,70,2.0,2,71.0,2,2,2,1,3,3,1,2,0,1,0,0,1
19.0,70,9,86,2.0,2,63.0,1,2,1,3,2,2,1,1,1,1,1,0,0
14.0,67,4,71,0.0,4,62.0,1,2,2,3,2,2,2,1,0,1,0,0,1
27.0,99,5,63,0.0,4,73.0,3,2,2,2,3,2,1,1,0,1,0,0,1
19.0,85,4,71,1.0,3,66.0,2,3,1,2,3,1,1,3,0,1,0,0,1
7.0,99,9,94,3.0,2,72.0,2,3,2,3,3,3,3,2,1,1,0,0,0
25.0,74,8,77,1.0,2,67.0,1,3,1,1,2,2,3,2,1,1,0,0,1
17.0,88,5,67,0.0,3,65.0,1,1,2,2,3,2,3,1,0,0,0,0,0
19.0,69,7,84,2.0,4,66.0,2,2,2,2,2,2,1,1,1,1,0,0,0
22.0,70,7,81,3.0,2,68.0,2,3,1,2,2,2,3,2,1,1,0,0,1
21.0,80,4,78,1.0,4,69.0,3,2,2,2,3,2,1,1,1,1,0,1,1
24.0,73,7,70,0.0,3,68.0,2,3,2,3,2,1,3,1,1,1,0,0,1
17.0,67,5,54,0.0,2,61.0,3,2,2,1,2,1,1,2,1,1,0,0,0
23.0,71,8,81,3.0,2,68.0,1,3,2,2,3,3,1,1,1,1,0,1,0
18.0,61,5,71,3.0,3,64.0,1,3,1,3,3,2,2,1,1,1,0,1,0
24.0,88,7,71,1.0,3,67.0,1,2,1,1,3,2,2,2,1,0,0,0,0
24.0,80,9,62,3.0,3,68.0,3,1,3,3,1,2,1,2,1,1,0,0,0
14.0,64,8,62,1.0,4,61.0,3,2,1,2,3,3,1,2,0,1,1,0,0
27.0,67,8,89,1.0,3,66.0,1,3,1,1,1,3,3,1,0,1,0,0,1
17.0,64,7,74,2.0,2,64.0,1,3,1,2,1,3,3,1,1,1,0,0,1
25.0,85,5,55,3.0,3,67.0,2,1,1,3,2,1,1,2,0,1,0,0,1
22.0,64,6,52,2.0,4,64.0,3,2,1,3,2,1,2,2,0,1,0,1,1
31.0,90,7,61,0.0,3,72.0,3,3,1,1,2,3,1,1,0,1,0,0,0
19.0,61,7,74,2.0,3,62.0,2,2,1,3,2,1,3,3,0,1,0,0,0
18.0,70,5,81,2.0,2,63.0,2,3,1,1,2,1,1,3,1,1,0,1,1
20.0,96,8,57,1.0,4,70.0,3,3,1,1,2,2,1,1,0,1,0,1,0
18.0,89,5,72,3.0,3,69.0,2,3,1,2,2,3,2,2,0,1,0,0,0
25.0,63,9,54,3.0,2,64.0,2,1,2,2,1,3,1,1,1,1,0,0,0
10.0,93,7,52,2.0,3,66.0,2,1,2,2,2,3,3,1,0,1,0,0,0
14.0,80,8,93,3.0,4,67.0,2,1,2,1,3,3,1,1,1,1,0,1,1
14.0,94,8,83,1.2926987210620042,5,71.0,3,3,2,2,1,1,3,1,1,1,1,0,1
26.0,84,10,89,0.0,1,70.0,3,2,2,1,3,3,1,3,1,1,0,1,1
30.0,87,7,59,2.0,3,69.0,2,1,2,2,2,2,1,2,0,1,0,0,0
19.0,100,6,66,0.0,3,68.0,1,2,3,1,2,2,1,2,0,1,0,0,0
19.0,69,6,72,1.0,1,64.0,3,2,2,1,2,2,2,1,1,0,0,0,1
20.0,85,9,83,3.0,3,70.0,2,3,1,2,2,3,2,1,1,1,1,0,0
27.0,78,5,77,0.0,3,69.0,1,3,2,2,1,2,3,1,1,1,0,1,0
14.0,62,6,78,0.0,2,63.0,2,2,2,3,2,3,2,1,1,1,0,0,1
21.0,61,7,58,1.0,3,60.0,2,1,2,2,1,1,1,1,0,1,0,0,1
26.0,65,7,74,2.0,4,65.0,1,3,2,1,2,1,1,1,0,1,0,0,1
23.0,86,8,91,0.0,0,67.0,2,2,2,1,2,1,1,1,0,1,0,0,0
21.0,83,5,75,1.0,4,66.0,1,2,1,2,2,1,2,1,0,1,0,0,0
26.0,82,7,60,3.0,3,68.0,3,1,2,1,2,2,3,1,0,0,0,0,1
4.0,61,7,71,0.0,1,67.07012148239274,3,1,3,1,1,3,3,1,1,1,0,0,0
24.0,79,5,88,0.0,3,67.0,3,1,2,2,2,2,1,2,1,1,0,0,1
16.0,97,8,57,0.0,4,68.0,2,2,1,2,2,3,1,1,1,1,1,0,0
9.0,76,7,79,1.0,3,62.0,2,2,2,1,2,2,1,1,1,1,0,0,1
23.0,85,7,98,2.0,3,69.0,3,1,3,1,2,1,3,2,0,0,0,0,1
28.0,91,6,69,1.0,4,73.0,3,2,3,2,3,2,1,3,1,1,0,1,0
19.0,91,6,52,2.0,4,66.0,1,3,2,1,2,1,1,2,0,1,1,0,0
26.0,81,5,82,0.0,5,67.0,2,1,2,2,2,1,3,1,1,1,1,0,1
30.0,94,8,52,1.0,4,71.0,2,2,2,2,1,2,1,1,0,1,0,0,1
28.0,76,9,60,1.0,2,66.0,2,2,2,1,2,2,1,3,1,1,0,0,0
30.0,96,10,52,0.0,4,74.0,2,3,2,3,3,3,2,2,1,1,0,0,1
24.0,70,8,59,2.0,5,67.0,3,2,1,1,3,3,1,1,0,1,0,0,0
20.0,71,6,93,2.0,2,68.0,2,3,3,2,3,1,3,1,0,1,0,0,0
10.0,62,6,87,2.0,3,61.0,2,2,3,1,3,2,1,1,0,1,0,0,0
19.0,92,8,67,2.0,2,69.0,3,2,2,2,2,1,1,1,0,1,0,1,1
15.0,77,7,95,1.2926987210620042,4,65.0,2,1,1,1,2,3,1,2,1,1,0,0,0
33.0,69,7,83,2.0,2,71.0,3,2,2,2,1,2,3,1,1,1,0,0,0
19.0,69,7,72,1.0,2,61.0,1,2,2,1,1,3,1,3,0,1,0,0,1
21.0,96,9,53,0.0,3,70.0,3,2,2,1,3,2,2,1,1,1,0,0,0
23.0,93,6,87,2.0,3,70.0,1,2,2,2,2,2,1,2,0,1,0,1,0
20.0,82,9,69,1.0,3,69.0,3,2,1,2,2,3,2,1,1,1,0,0,0
30.0,85,7,65,2.0,3,70.0,1,3,3,1,2,1,1,1,1,1,0,0,1
16.0,79,6,64,1.2926987210620042,4,67.0,2,3,2,1,1,3,2,1,1,1,1,0,0
21.0,76,6,50,2.0,4,63.0,2,1,1,1,2,1,3,2,0,1,0,0,1
16.0,97,7,87,1.0,3,70.0,2,2,2,3,2,2,1,1,0,1,0,0,1
12.0,65,8,57,1.0,5,61.0,2,2,2,3,3,3,1,1,0,1,1,1,1
16.0,77,6,76,1.0,1,64.0,3,1,1,1,2,2,3,2,1,1,0,0,1
20.0,74,8,51,2.0,3,65.0,2,2,3,2,2,1,2,1,1,1,0,0,0
17.0,80,6,81,1.0,1,65.0,2,2,2,2,3,2,2,3,0,1,0,0,0
16.0,78,7,68,3.0,3,66.0,1,2,3,1,3,3,3,3,1,1,0,1,1
12.0,81,5,82,1.0,3,66.0,3,3,1,2,3,3,1,3,1,1,0,0,1
20.0,66,8,54,2.0,2,63.0,2,1,2,2,1,3,3,1,1,1,0,0,0
11.0,81,7,63,3.0,2,66.0,3,1,2,2,2,2,3,1,1,1,0,0,0
25.0,70,9,56,0.0,1,64.0,2,2,3,1,2,3,1,3,1,1,0,0,0
20.0,67,8,82,3.0,4,65.0,1,3,2,1,3,2,1,1,0,1,1,0,0
11.0,63,7,55,3.0,1,62.0,2,3,1,3,2,3,3,1,0,1,0,1,0
18.0,91,9,81,1.2926987210620042,5,71.0,3,1,3,3,2,2,1,2,1,1,0,0,0
15.0,77,8,57,1.0,2,63.0,2,2,1,1,2,2,2,1,1,1,0,0,0
22.0,85,9,97,0.0,3,70.0,3,2,3,2,3,1,2,2,0,1,0,0,0
28.0,89,6,71,2.0,4,70.0,1,2,1,1,2,2,2,2,1,1,0,1,0
9.0,87,8,56,1.0,3,65.0,2,2,2,2,3,3,2,2,0,1,0,0,1
21.0,79,8,52,1.0,3,66.0,3,3,2,1,2,2,1,1,1,1,1,0,1
19.0,76,5,66,2.0,4,66.0,1,2,2,2,2,3,2,1,1,1,0,1,1
24.0,75,9,95,0.0,2,68.0,1,2,3,2,3,3,2,1,0,1,0,0,0
21.0,86,5,57,1.0,3,68.0,3,3,2,1,2,1,1,1,0,1,0,1,0
15.0,80,5,90,1.2926987210620042,3,69.0,2,3,2,2,3,2,1,1,1,1,0,1,1
18.0,94,4,71,3.0,3,71.0,2,2,2,3,1,3,2,1,1,1,0,0,1
15.0,95,8,90,2.0,1,69.0,2,2,1,1,2,1,3,1,1,1,0,1,0
26.0,67,5,94,0.0,2,68.0,3,2,2,2,2,3,2,1,1,1,0,0,0
20.0,65,6,100,2.0,5,67.0,3,2,2,1,3,2,1,2,1,1,0,0,0
31.0,85,8,53,2.0,3,72.0,2,3,2,1,3,3,1,1,0,1,0,0,0
20.0,72,7,90,2.0,3,68.0,2,3,3,2,2,2,1,1,1,1,0,0,0
16.0,61,6,53,0.0,4,60.0,2,3,1,3,2,3,1,2,1,1,1,0,1
11.0,96,5,66,2.0,4,68.0,3,2,3,1,2,2,1,2,0,1,0,0,0
9.0,69,7,82,1.0,2,65.0,2,3,3,3,3,3,1,1,1,1,0,0,1
10.0,97,8,72,0.0,3,67.0,3,1,3,1,2,2,3,2,0,1,0,0,1
22.0,89,8,78,1.2926987210620042,3,70.0,2,1,1,3,2,3,1,1,0,1,0,1,1
23.0,91,10,98,0.0,3,70.0,1,2,3,1,3,1,1,1,1,1,0,1,1
11.0,68,6,91,3.0,2,61.0,2,2,1,1,3,1,2,3,0,1,0,0,1
25.0,69,5,68,2.0,4,68.0,1,3,2,3,3,3,2,3,1,1,0,0,0
17.0,81,7,80,1.0,3,67.0,3,2,3,1,2,1,3,1,0,1,0,0,1
21.0,67,7,52,3.0,3,62.0,3,2,2,1,2,1,1,2,0,1,1,0,1
30.0,72,7,73,0.0,4,66.0,1,2,2,3,2,2,1,2,0,1,0,0,0
25.0,73,6,80,3.0,2,69.0,2,3,2,3,2,3,1,3,1,1,0,0,1
18.0,66,4,86,2.0,4,66.0,3,2,2,2,2,1,2,1,1,1,0,0,1
15.0,68,5,95,0.0,5,64.0,2,2,2,3,2,1,2,1,1,1,0,0,1
7.0,92,8,64,1.0,4,66.0,2,3,3,1,1,2,3,1,0,1,0,0,0
16.0,67,7,95,2.0,5,63.0,2,2,1,2,2,2,1,1,0,1,1,0,0
19.0,61,8,83,1.0,3,62.0,3,1,1,2,2,1,1,1,1,1,0,1,0
14.0,85,8,54,1.0,4,65.0,2,2,1,3,2,1,3,2,1,1,0,1,0
19.0,99,8,69,0.0,2,68.0,3,1,1,3,2,1,1,2,0,1,0,1,0
20.0,73,8,74,1.0,4,65.0,3,3,1,1,1,1,1,2,1,1,0,1,0
19.0,65,7,68,1.0,4,63.0,3,2,1,1,1,2,2,1,1,1,0,0,1
16.0,83,7,56,3.0,2,68.0,3,3,2,2,2,1,1,1,1,1,0,0,0
21.0,96,4,78,2.0,2,72.0,3,2,1,3,2,3,1,1,1,1,0,1,0
23.0,91,6,57,2.0,3,69.0,1,3,2,1,2,3,1,1,0,1,0,1,0
13.0,85,6,96,1.0,5,66.0,2,1,1,1,3,3,3,3,0,1,0,0,0
28.0,73,7,93,2.0,3,68.0,1,1,3,1,3,2,2,1,1,1,0,1,0
19.0,82,6,74,1.0,2,64.0,1,1,2,2,3,2,1,2,0,1,0,0,0
20.0,64,8,53,1.0,2,61.0,1,2,1,1,2,3,1,1,1,1,0,0,0
24.0,87,6,78,0.0,2,67.0,2,1,3,1,1,2,3,1,0,1,1,0,0
21.0,89,9,80,0.0,3,68.0,1,2,2,2,1,2,3,2,1,1,0,0,0
26.0,99,6,94,2.0,3,74.0,2,2,3,2,2,3,1,1,0,1,0,0,0
22.0,70,6,53,3.0,2,67.0,3,2,2,2,3,3,1,1,1,1,0,0,1
16.0,61,6,85,2.0,3,64.0,3,2,2,2,2,3,1,1,1,1,0,1,0
22.0,82,6,78,3.0,3,69.0,3,1,2,2,3,2,1,2,0,1,0,0,0
13.0,88,9,59,0.0,3,63.0,2,3,2,1,2,1,1,3,1,1,1,1,1
21.0,92,7,56,0.0,4,67.0,2,2,2,1,2,2,1,2,0,1,0,1,1
20.0,68,7,85,1.0,3,65.0,2,3,2,2,2,2,2,3,1,1,0,0,0
19.0,70,6,67,1.2926987210620042,4,67.0,2,2,2,2,1,3,3,2,1,1,0,0,1
19.0,81,7,100,1.0,5,68.0,2,3,2,1,2,1,3,2,0,1,0,1,1
9.0,73,7,95,3.0,3,62.0,1,2,2,1,2,1,3,1,1,0,0,1,0
17.0,94,7,78,1.0,3,70.0,2,3,2,1,3,2,2,1,1,1,0,0,1
21.0,79,7,82,1.0,3,67.0,3,1,2,3,2,1,1,1,1,1,0,0,1
21.0,92,9,58,2.0,5,67.07012148239274,3,3,2,3,2,2,1,2,1,1,0,0,1
14.0,83,7,95,1.0,2,65.0,2,3,1,1,2,2,1,1,1,1,1,1,1
28.0,91,5,73,2.0,2,69.0,2,1,2,2,2,2,1,1,1,0,0,0,1
15.0,73,7,76,2.0,4,64.0,2,2,3,1,2,3,1,3,0,1,0,0,1
26.0,93,6,94,1.2926987210620042,4,74.0,1,3,2,3,2,1,1,1,0,1,0,1,1
23.0,71,8,50,0.0,2,64.0,3,2,2,3,2,3,1,3,0,1,0,0,1
16.0,82,7,75,0.0,2,64.0,3,1,2,1,2,1,3,2,0,1,0,0,1
31.0,69,9,81,2.0,2,67.0,1,2,2,2,2,1,2,1,1,1,0,1,0
13.0,79,6,58,2.0,4,63.0,1,1,3,2,2,3,2,2,1,1,0,0,0
26.0,73,7,53,3.0,5,68.0,2,3,1,2,3,2,1,2,1,1,0,1,1
26.0,71,5,77,0.0,5,66.0,2,1,1,2,2,2,3,1,1,1,0,0,0
16.0,99,7,77,0.0,3,68.0,3,1,3,1,2,2,1,2,1,1,1,0,1
28.0,66,5,67,1.0,1,68.0,3,2,2,3,2,3,3,2,0,1,0,1,1
18.0,91,7,94,3.0,2,69.0,2,2,2,1,2,2,1,1,0,1,0,1,1
22.0,99,7,65,3.0,3,71.0,1,3,2,1,1,2,3,1,0,1,0,0,1
22.0,61,7,76,1.0,3,65.0,3,1,2,3,2,3,2,1,1,1,0,0,1
19.0,88,8,59,2.0,4,67.0,2,1,2,2,2,2,1,1,1,1,0,1,0
25.0,70,7,51,1.0,4,65.0,2,2,2,3,2,1,2,1,0,1,0,0,1
25.0,62,5,71,0.0,4,65.0,2,3,2,1,3,3,1,2,0,1,0,1,0
10.0,76,6,76,1.0,2,67.07012148239274,1,2,2,3,3,1,3,1,0,1,0,0,0
28.0,97,7,88,2.0,2,74.0,2,2,3,2,2,2,1,2,1,1,0,0,0
10.0,60,7,72,3.0,3,59.0,2,2,1,2,1,3,1,1,0,0,0,0,0
26.0,84,7,64,2.0,3,69.0,2,2,1,3,3,2,1,1,0,1,0,0,0
27.0,80,9,80,0.0,2,66.0,1,2,2,3,2,2,1,2,1,1,1,0,0
13.0,95,7,69,1.0,2,66.0,2,2,2,1,1,3,3,2,1,1,1,0,1
18.0,63,8,62,2.0,4,65.0,3,3,2,3,2,3,1,1,0,1,0,0,1
13.0,87,4,96,3.0,3,67.0,2,3,1,1,1,2,2,1,1,1,1,0,0
19.0,87,8,77,3.0,4,69.0,3,3,1,1,2,2,1,2,0,1,0,1,0
18.0,87,10,60,2.0,3,68.0,1,2,3,2,2,3,1,1,1,1,0,0,1
25.0,98,9,84,1.0,2,73.0,2,2,2,2,3,2,3,1,1,1,0,1,1
28.0,93,6,90,1.0,2,71.0,3,1,2,1,2,3,1,1,1,1,1,0,1
28.0,62,10,88,0.0,2,67.0,2,3,2,1,3,3,3,2,1,1,1,0,0
17.0,79,7,80,1.0,3,67.0,2,2,1,3,3,3,2,1,1,1,0,0,1
19.0,76,7,76,0.0,2,66.0,1,3,2,3,3,2,3,1,0,1,0,0,0
10.0,72,7,89,3.0,4,63.0,1,2,2,2,2,1,2,1,0,1,0,0,1
15.0,78,7,85,1.0,1,65.0,3,3,2,3,2,1,1,3,0,0,0,0,0
26.0,75,4,79,2.0,1,67.0,1,2,2,3,2,1,2,1,1,1,0,0,0
30.0,77,8,83,1.0,3,69.0,1,2,2,1,1,3,2,1,1,1,0,0,0
13.0,99,7,58,1.0,2,67.0,2,2,2,1,2,2,1,1,1,1,0,0,0
16.0,64,7,51,1.2926987210620042,3,66.0,2,3,3,3,3,2,2,1,1,1,0,0,0
20.0,97,7,97,2.0,4,74.0,3,3,1,2,3,2,1,2,1,1,0,1,1
22.0,79,6,97,2.0,2,69.0,2,3,2,3,2,3,2,2,0,0,0,0,1
15.0,85,7,89,0.0,4,66.0,2,1,3,2,2,1,2,2,1,1,0,0,1
23.0,93,9,69,0.0,3,69.0,1,3,1,2,2,3,3,2,1,1,1,1,0
17.0,74,8,58,1.0,2,63.0,2,2,1,3,2,2,2,3,1,1,0,0,0
20.0,77,7,68,0.0,3,65.0,1,2,2,2,3,3,2,1,1,0,0,1,1
23.0,76,7,86,1.0,4,64.0,2,1,1,1,2,3,2,3,0,0,0,1,0
20.0,75,7,67,0.0,4,64.0,2,1,3,2,2,2,1,1,0,1,0,1,0
17.0,97,6,90,2.0,2,69.0,3,1,1,2,1,1,1,2,1,1,0,0,0
19.0,93,7,84,1.2926987210620042,3,73.0,3,3,2,1,3,1,1,1,0,1,0,0,1
19.0,64,8,81,1.0,3,62.0,2,2,3,2,2,1,1,2,1,1,1,0,0
18.0,64,7,97,2.0,4,62.0,1,1,1,2,1,2,2,1,1,1,0,1,0
18.0,77,6,95,0.0,2,68.0,2,2,3,2,3,3,3,2,1,1,0,1,1
30.0,64,7,86,1.0,3,66.0,2,2,1,2,2,3,3,3,0,1,0,1,1
23.0,85,8,60,2.0,1,68.0,3,1,3,2,2,3,2,2,1,1,1,0,1
18.0,66,5,97,1.2926987210620042,4,66.0,3,1,2,2,2,2,1,2,1,1,0,0,0
24.0,81,6,61,3.0,3,69.0,2,1,1,2,2,3,3,1,1,1,0,0,0
18.0,60,5,69,0.0,2,62.0,2,2,2,2,2,2,3,1,1,1,0,0,1
27.0,73,7,91,2.0,4,68.0,2,1,2,3,2,2,2,3,0,1,0,0,1
22.0,87,8,60,2.0,2,67.0,2,2,1,2,3,1,2,2,0,1,0,0,0
19.0,79,9,82,1.0,4,65.0,2,1,2,1,2,2,1,1,0,1,0,1,0
23.0,99,9,73,0.0,4,69.0,2,1,2,1,2,1,2,1,0,1,0,0,0
11.0,95,6,81,2.0,3,67.0,2,2,3,1,1,3,1,1,0,1,0,0,0
13.0,74,7,98,0.0,3,64.0,1,1,3,2,2,3,3,1,1,1,0,0,1
13.0,62,6,90,3.0,3,62.0,2,1,2,3,3,2,3,1,1,0,1,1,1
21.0,94,9,65,1.2926987210620042,3,71.0,2,2,1,3,3,2,1,1,1,1,1,1,0
30.0,96,9,53,0.0,3,72.0,3,2,2,2,2,2,1,1,1,0,0,1,0
33.0,93,7,98,0.0,2,74.0,3,3,1,2,2,1,1,1,1,1,1,0,1
24.0,65,6,79,1.0,2,66.0,3,1,1,2,3,2,3,1,0,1,0,0,0
23.0,100,4,59,2.0,4,72.0,1,3,2,2,2,3,1,1,1,1,0,0,1
9.0,70,5,81,1.0,4,65.0,2,3,2,3,3,2,3,1,0,1,0,1,1
17.0,89,4,52,0.0,3,67.0,2,3,3,1,2,3,2,3,1,1,0,0,1
15.0,96,5,59,2.0,2,70.0,3,2,3,2,3,2,1,1,1,1,0,1,0
16.0,69,10,82,0.0,1,62.0,2,3,2,1,3,1,1,2,1,1,1,0,0
19.0,96,5,70,0.0,2,66.0,1,1,3,1,2,3,1,3,1,1,0,0,0
17.0,72,5,66,2.0,3,65.0,2,1,2,3,3,1,2,1,1,1,0,0,0
8.0,99,6,83,2.0,4,70.0,3,1,3,2,3,3,3,1,1,1,1,0,0
24.0,71,10,93,2.0,2,69.0,3,3,1,2,2,3,2,1,1,1,1,1,1
14.0,98,7,84,3.0,3,70.0,2,2,1,3,2,2,1,1,1,1,0,0,1
21.0,62,8,73,2.0,2,66.0,3,3,2,3,2,1,2,1,0,1,0,1,1
32.0,88,7,83,1.0,4,73.0,1,2,1,1,3,3,3,1,1,1,0,1,0
14.0,81,4,85,3.0,4,69.0,2,3,1,2,3,3,3,2,0,1,0,0,1
5.0,79,9,89,3.0,3,66.0,3,3,1,2,2,2,2,1,1,1,0,1,1
18.0,69,8,65,1.2926987210620042,4,65.0,2,3,2,2,2,2,1,3,1,1,0,0,0
27.0,88,7,56,2.0,4,70.0,1,2,3,1,2,2,3,1,0,1,0,0,1
32.0,68,10,84,0.0,2,70.0,3,3,2,2,3,3,3,3,0,1,0,1,0
13.0,82,6,56,2.0,4,67.0,2,3,3,1,3,2,3,1,0,1,0,0,0
23.0,70,7,73,1.0,3,68.0,3,2,3,1,2,3,3,1,1,1,0,1,0
17.0,98,6,62,1.0,2,68.0,1,2,1,2,2,2,2,1,1,1,0,1,1
19.0,61,9,67,0.0,2,61.0,2,3,2,1,2,1,2,3,0,1,0,0,1
36.0,68,8,74,2.0,3,70.0,2,2,3,2,2,1,1,1,1,1,0,0,0
11.0,70,7,95,0.0,5,65.0,3,3,3,1,3,1,2,2,0,1,0,0,0
22.0,77,5,84,3.0,2,66.0,2,1,2,3,2,3,1,2,1,0,0,0,0
23.0,69,6,59,3.0,3,67.0,2,2,2,3,2,2,3,2,1,1,0,0,0
27.0,80,5,94,3.0,3,69.0,1,1,3,3,2,1,1,1,1,1,0,0,0
21.0,95,9,75,1.0,2,69.0,3,2,2,1,2,2,2,3,0,1,0,0,0
22.0,88,5,60,1.0,2,67.0,2,2,1,1,2,2,1,2,1,1,0,0,0
18.0,83,9,76,0.0,4,66.0,1,3,2,2,1,2,1,1,0,1,0,1,1
22.0,64,9,60,1.0,2,63.0,2,1,2,3,3,2,1,1,1,1,0,1,0
18.0,88,6,68,0.0,4,67.0,2,3,1,2,3,2,1,3,0,1,0,0,1
24.0,67,6,90,0.0,1,64.0,1,3,2,1,2,2,2,3,1,1,0,0,0
18.0,91,6,83,2.0,4,68.0,1,2,2,1,2,2,1,1,0,1,0,1,0
22.0,70,8,74,2.0,2,65.0,3,2,1,1,3,1,1,2,1,1,0,0,0
20.0,77,9,61,2.0,3,65.0,1,2,2,2,2,2,1,1,0,1,0,0,0
27.0,74,9,64,1.0,3,65.0,1,2,3,1,2,2,1,1,1,0,0,0,0
20.0,94,6,99,0.0,4,70.0,2,1,2,2,2,1,2,1,1,1,0,0,1
9.0,65,9,67,1.0,3,62.0,3,2,2,3,2,2,1,1,1,1,0,0,1
28.0,83,9,81,0.0,4,68.0,1,3,2,1,2,2,1,2,0,1,0,0,0
15.0,66,7,75,0.0,3,62.0,3,1,1,3,3,1,2,1,1,1,0,0,0
16.0,88,7,51,0.0,3,68.0,3,2,2,2,2,3,2,1,1,1,0,0,1
16.0,96,9,97,0.0,5,72.0,2,3,2,2,3,2,2,1,1,1,0,1,0
28.0,77,9,54,1.0,3,70.0,2,3,1,3,2,3,3,1,1,1,0,0,1
7.0,80,9,83,3.0,3,62.0,2,3,1,2,2,2,1,3,0,0,0,0,1
19.969226081657524,97,10,91,2.0,3,67.07012148239274,3,3,2,1,2,3,1,2,1,1,0,0,1
26.0,81,8,87,2.0,1,73.0,3,2,2,3,3,2,3,1,1,1,0,0,0
21.0,80,7,90,1.0,2,68.0,3,3,3,1,1,1,2,3,1,1,0,0,0
20.0,83,9,87,0.0,2,68.0,2,3,1,3,2,2,1,1,1,1,0,0,0
22.0,88,10,72,2.0,2,69.0,2,2,2,1,3,2,1,2,1,1,0,0,1
23.0,64,6,95,1.0,2,63.0,1,2,3,1,2,3,2,3,1,1,1,0,1
24.0,93,7,96,1.2926987210620042,4,74.0,2,2,2,3,2,1,3,1,1,0,0,0,1
23.0,77,5,72,2.0,5,69.0,2,2,2,3,3,1,2,2,1,1,0,0,1
21.0,63,8,74,0.0,3,61.0,1,2,2,1,2,1,1,1,0,1,0,0,1
19.0,91,8,74,1.2926987210620042,2,69.0,1,2,1,2,2,2,3,1,1,1,1,0,1
19.0,75,6,64,2.0,3,64.0,1,2,3,1,2,2,1,1,0,1,0,0,1
19.0,64,9,56,2.0,4,63.0,2,2,1,1,2,3,3,3,1,1,0,0,1
27.0,85,6,63,1.0,2,68.0,3,1,1,1,2,1,2,1,0,1,0,0,0
24.0,95,6,92,2.0,3,72.0,2,3,2,1,2,2,1,3,1,1,0,0,0
19.969226081657524,96,9,77,3.0,2,65.0,3,1,2,2,2,2,1,3,1,1,0,0,1
24.0,98,6,93,2.0,4,69.0,1,1,1,1,1,3,2,1,0,0,0,0,0
21.0,95,5,87,2.0,4,70.0,1,2,1,2,2,2,1,1,0,1,0,1,0
20.0,60,8,67,1.0,4,63.0,2,2,1,2,2,2,3,2,1,1,0,0,1
18.0,75,7,59,0.0,2,62.0,2,1,1,2,2,3,1,1,1,1,1,0,1
27.0,93,9,78,1.0,2,72.0,2,2,1,1,2,3,3,1,1,1,0,0,1
26.0,75,8,97,1.0,4,69.0,3,3,2,1,2,2,1,3,0,1,0,0,0
15.0,84,4,92,2.0,3,66.0,2,2,1,2,2,1,1,2,0,1,0,0,1
22.0,84,9,88,2.0,4,71.0,2,2,2,1,3,2,3,1,1,1,0,1,0
14.0,75,10,88,2.0,3,62.0,1,1,2,1,2,1,2,2,0,1,0,1,1
12.0,96,9,76,2.0,2,68.0,1,2,2,2,3,3,1,1,1,1,0,0,0
16.0,80,9,58,0.0,2,63.0,1,3,1,2,2,2,1,1,0,1,0,0,1
25.0,79,7,64,0.0,3,66.0,2,2,2,1,2,2,2,3,1,1,0,0,1
26.0,100,6,79,1.0,3,75.0,2,3,3,2,3,3,2,2,1,1,0,0,0
23.0,80,7,66,1.0,4,69.0,1,2,3,3,3,3,2,1,1,1,0,1,1
24.0,67,8,89,2.0,3,68.0,2,3,2,3,1,3,1,1,0,1,0,1,1
23.0,81,8,69,1.2926987210620042,2,69.0,2,3,2,2,2,1,1,2,0,1,0,0,0
16.0,93,6,56,2.0,4,67.0,1,3,2,1,2,3,1,1,0,1,0,0,0
